	Approach	Dataset	Users	Items	Interactions	k	VarianceNDCG	MeanNDCG	VarianceExposure	VarianceExposureEqWeight	Entropy	Gini	MMS	IIF	GGF
1169	PCT	amazon	825	769	1000	20	0.00016979992495458414	0.9807488401369882	1230.64215287994	12655.153173780483	0.5864071222929342	0.8090608386309621	0.0377113133940182	0.0007979388641893687	2.0827751050171045e-08
1171	PCT	amazon	1156	1040	1500	20	0.00019783064222341407	0.9799420311134217	1674.938879844521	17044.339053254436	0.5920699069342679	0.8022969907151406	0.04423076923076923	0.0005720506416650182	4.987709649657696e-09
1173	PCT	amazon	1156	1040	1500	20	0.00020817572047850336	0.9798561730603027	1695.5978894812679	17406.629437869822	0.5886331121019055	0.8001075546170219	0.02980769230769231	0.0005895571499251309	5.033872052137401e-09
1175	PCT	amazon	1156	1040	1500	20	0.00019802287212679614	0.979955033606909	1429.0307950634963	14780.156360946747	0.6287452216908597	0.7803334664137886	0.07211538461538461	0.000568417094198361	5.062683559193245e-09
1177	PCT	amazon	1156	1040	1500	20	0.00019714260907363886	0.9799280854493342	2030.0404184113293	19881.037130177516	0.5432495389209536	0.8346127440498454	0.027884615384615386	0.0006431416251495885	4.8446046841576585e-09
1179	PCT	amazon	1156	1040	1500	20	0.00019435227506408426	0.9799729391394258	1476.7401643013154	15206.71020710059	0.6210165290085291	0.7855348965177372	0.06634615384615385	0.0006528120776539242	4.835070614944637e-09
1181	PCT	black_friday	282	261	300	20	0.0001470330726776003	0.9733467989512752	410.3321371950658	4079.3338618047305	0.6705437768422771	0.7574051257862815	0.09578544061302682	0.003975874830342742	6.47032311556026e-10
1183	PCT	black_friday	282	261	300	20	0.00014508473021692853	0.9732016947999999	331.3230401153659	3387.939225789404	0.7135024116360998	0.7232502942317481	0.1111111111111111	0.0028796160469870486	6.374872469495066e-10
1185	PCT	black_friday	282	261	300	20	0.00014688165000007294	0.9735334108882967	288.2761913722943	2953.126965253006	0.7410561598958689	0.7003609827879653	0.13409961685823754	0.00391722423042994	7.949417913232744e-10
1187	PCT	black_friday	282	261	300	20	0.00014649208834271256	0.9735476057383712	356.1851436103351	3610.238076364117	0.697835530486545	0.7402681978195177	0.10727969348659004	0.003950827106086141	7.142971875084873e-10
1189	PCT	black_friday	282	261	300	20	0.00014242681633129767	0.9733771414216903	311.84419468251434	3196.7284978200564	0.7260615157968788	0.7132405124444618	0.13026819923371646	0.003936673603420202	6.765071073632311e-10
1191	PCT	black_friday	328	305	350	20	0.00014307008431830098	0.9769210859260248	371.22163191041267	3795.063047567858	0.7061934680558096	0.7351550275248049	0.10819672131147541	0.00341527280521599	6.32251840425401e-11
1193	PCT	black_friday	328	305	350	20	0.00014077975108074534	0.9766982126004043	448.9375923414167	4581.954850846546	0.6639808742177846	0.7668744268733296	0.07540983606557378	0.0033965412865185267	6.425666134846114e-11
1195	PCT	black_friday	328	305	350	20	0.00013735483953059125	0.9767031541368703	481.57671398315216	4821.417145928513	0.6506443782733706	0.7750734232836138	0.07213114754098361	0.0024969547293162107	6.149747954719889e-11
1197	PCT	black_friday	328	305	350	20	0.00014138523723955892	0.9770905035225063	361.5590342866456	3791.3778016662195	0.7098731591645909	0.7278520909140784	0.11475409836065574	0.0033723722991481396	8.74217594685787e-11
1199	PCT	black_friday	328	305	350	20	0.00013866625382894535	0.976902759840274	511.63834995723187	5106.112227895727	0.6349091288751934	0.7852159777246924	0.07868852459016394	0.0034357952455925564	6.375639061212444e-11
1201	PCT	black_friday	455	426	500	20	0.00013091551515860135	0.9797179055603797	639.838761213003	6577.42800149882	0.6356645950671735	0.7845882332502734	0.056338028169014086	0.0025316416463492114	1.3985720459388902e-11
1203	PCT	black_friday	455	426	500	20	0.0001506727297550842	0.9796630665092576	522.4590469569827	5576.8974850668965	0.677382707985837	0.7550742651906668	0.08685446009389672	0.0018280451942578662	1.565390708395896e-11
1205	PCT	black_friday	455	426	500	20	0.00015288511561442516	0.9797956133732767	514.7533907694406	5488.160395865017	0.6809238404003687	0.7522166339691218	0.107981220657277	0.0018344053126761763	1.6697620342045187e-11
1207	PCT	black_friday	455	426	500	20	0.0001516071158508988	0.9795935792797741	588.0686926623221	6153.315325442483	0.6533746042599392	0.7719022247201184	0.06572769953051644	0.0018404843460158458	1.3507219677815108e-11
1209	PCT	black_friday	455	426	500	20	0.00015590613418497605	0.9798471226443832	497.4423677724505	5185.085278494125	0.6896758611933262	0.750129838466123	0.1267605633802817	0.0019729158106523547	1.3510105895149743e-11
1211	PCT	black_friday	611	546	700	20	0.00014475241924511695	0.9798286020310397	557.7615321823	6012.986743415316	0.7210274170954415	0.7157383979021342	0.13003663003663005	0.0013863913616015363	2.4891848261744627e-11
1213	PCT	black_friday	611	546	700	20	0.0001456022009753777	0.9798871110740809	659.7822747125114	7052.624106052677	0.688183326664444	0.7432253439621853	0.10256410256410256	0.0013486823216161306	2.4251558327777053e-11
1215	PCT	black_friday	611	546	700	20	0.000141941129003294	0.9797858682751337	818.8003710271796	8535.990406418978	0.6427596049128284	0.783622351841615	0.06593406593406594	0.0013904439458721008	2.4727712518386715e-11
1217	PCT	black_friday	611	546	700	20	0.00014499884076767257	0.9797545712279373	899.7738288364508	9041.034362462935	0.6237527339651601	0.7965451921887668	0.05860805860805861	0.0014029816672814375	2.4633236970465698e-11
